job title,job link,job location,salary,skills required,company name
Oracle Database Administrator,https://wuzzuf.net/jobs/p/V63jyOgd85vl-Oracle-Database-Administrator-Al-Ahly-Momkn-for-e-payment-Cairo-Egypt,"Maadi, Cairo, Egypt ",Confidential,"['Database Administrator', 'PL/SQL', 'Administration', 'Architecture', 'Backup', 'Computer Science', 'Database', 'Information Technology (IT)', 'Oracle', 'RMAN', 'SQL', 'PL']",Al Ahly Momkn for e
Data Analyst,https://wuzzuf.net/jobs/p/YIXR0gEBWgoV-Data-Analyst-Ashtar-Tech-Cairo-Egypt,"New Capital, Cairo, Egypt ",Confidential,"['Analysis', 'Analyst', 'Computer Science', 'Data', 'Data Analysis', 'Data Analyst', 'Information Technology (IT)']",Ashtar Tech
Database Administrator,https://wuzzuf.net/jobs/p/JncYVbkmZVc5-Database-Administrator-Cairo-Egypt,"Cairo, Egypt ",Confidential,"['PostgreSQL', 'Performance Tuning', 'Database Administrator', 'Database', 'Computer Science', 'Database Design', 'Design', 'Information Technology (IT)', 'Maintenance', 'Oracle', 'RAC', 'SQL', 'SQL Server', 'Troubleshooting']",Confidential
Senior Database Admin (SQL),https://wuzzuf.net/jobs/p/YSLC5FDwruu8-Senior-Database-Admin-SQL-BI-Technologies-Cairo-Egypt,"New Cairo, Cairo, Egypt ","Confidential, Transportation, Medical Insurance, Social Insurance, Life Insurance, Retirement Plan And Profit Share","['Database Administrator', 'Information Technology (IT)', 'Computer Science', 'Database', 'SQL', 'backend', 'API', 'Backup', 'DBA', 'Programming', 'Security', 'Software Development']",BI
Oracle Database Administrator,https://wuzzuf.net/jobs/p/EIIuEhE34AGU-Oracle-Database-Administrator-Egabi-FSI-Cairo-Egypt,"Sheraton, Cairo, Egypt ",Confidential,"['Administration', 'Computer Science', 'database administration', 'Database', 'Information Technology (IT)', 'Oracle', 'OCP', 'OCA', 'Oracle Database', 'Oracle Database Administration', 'RAC', 'SQL', 'Weblogic', 'Weblogic Server', 'Banking']",Egabi FSI
Database Administrator,https://wuzzuf.net/jobs/p/2LD3tbVkUAkJ-Database-Administrator-Alexandria-Business-Association--SMEs-Project-Alexandria-Egypt,"Alexandria, Egypt ",Confidential,"['Computer Science', 'Database', 'Database Administrator', 'Information Technology (IT)', 'Oracle', 'SQL', 'Administrator']",Alexandria Business Association
Database Developer,https://wuzzuf.net/jobs/p/JF6McJZyoZyR-Database-Developer-KazaTech-Integrated-Solutions-Cairo-Egypt,"Cairo, Egypt ",Confidential,"['Database', 'Computer Science', 'Design', 'SQL Server', 'PL/SQL', 'PL', 'Information Technology (IT)', 'SQL', 'Software Development', 'Software Engineering', 'Programming']",KazaTech Integrated Solutions
Data Scientist,https://wuzzuf.net/jobs/p/g/SmixIONPX5et-Data-Scientist-Matchable-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['Python', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Data Science', 'Data Scientist', 'Machine Learning', 'Data Analysis', 'Java', 'MySQL', 'Software Engineering', 'Engineering', 'Software Development', 'Statistics', 'Analysis', 'Hadoop', 'NLP', 'Naive Bayes', 'Startup', 'Database']",Matchable
Junior Data Scientist (Remote),https://wuzzuf.net/jobs/p/g/vTKLnZ3pWDNr-Junior-Data-Scientist-Remote-Kreativstorm-Tabuk-Saudi-Arabia,"Tabuk, Saudi Arabia ",Confidential,"['Computer Science', 'Python', 'Information Technology (IT)', 'SQL', 'Data Science', 'Data Analysis', 'Java', 'Machine Learning', 'Data Scientist', 'Software Development', 'Analysis', 'Engineering', 'Software Engineering', 'Hadoop', 'MySQL', 'Statistics', 'Naive Bayes', 'Startup', 'Database', 'Research']",Kreativstorm
Data Analyst,https://wuzzuf.net/jobs/p/KZEzU6kSB5X0-Data-Analyst-Royal-Lab-Cairo-Egypt,"Heliopolis, Cairo, Egypt ",Confidential,"['Data Analyst', 'Information Technology (IT)', 'Analyst']",Royal Lab
